fragment_condition,particle_size_class,MRI_class,Msoil_class,Cd_loading_class,CMI_regime,count,CMI_mean,CMI_max,fraction
PET_COOH | oxidized,large MP,high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,860,0.4289553094734136,0.5621170640038265,0.00026661706349206347
PET_COOH | oxidized,large MP,high MRI,high soil mobilization potential,low Cd loading,conditional retention,430,0.07024457573683403,0.0843175596005739,0.00013330853174603173
PET_COOH | oxidized,large MP,high MRI,high soil mobilization potential,low Cd loading,mobilization regime,430,0.1489282999477946,0.178764988973742,0.00013330853174603173
PET_COOH | oxidized,large MP,high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,430,0.2855992217230956,0.3428169242523777,0.00013330853174603173
PET_COOH | oxidized,large MP,high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,430,0.20691549751213503,0.2483694948792096,0.00013330853174603173
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,high Cd loading,conditional retention,13056,0.06250556684255923,0.0999359366690756,0.004047619047619047
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,8931,0.011392433999602145,0.0299971326642847,0.0027687872023809523
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,high Cd loading,mobilization regime,4703,0.11955158892571213,0.1499749028772031,0.0014580233134920634
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,low Cd loading,conditional retention,3426,0.038350322093498604,0.0476951574254268,0.0010621279761904763
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,23264,0.006670205252515331,0.0299996036023947,0.0072123015873015875
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,moderate Cd loading,conditional retention,12825,0.05275843669236814,0.0914648179388161,0.003976004464285714
PET_COOH | oxidized,large MP,high MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,13865,0.009388700423476962,0.0299991151105554,0.0042984250992063495
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,262,0.25617743008529686,0.2623272980267697,8.122519841269842e-05
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,7118,0.17845041863319447,0.2497956875743556,0.00220672123015873
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,5317,0.05416091939114052,0.0834255701210091,0.001648375496031746
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,2063,0.026019165962080558,0.0299815704627411,0.0006395709325396825
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,3489,0.08404995169221295,0.0999731250776004,0.0010816592261904763
PET_COOH | oxidized,large MP,high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,3891,0.12194595368349087,0.1599848914324398,0.0012062872023809524
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,2706,0.30963493280134974,0.4124417535978009,0.0008389136904761905
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,634,0.2336375073762902,0.2499385554446057,0.00019655257936507936
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,2499,0.06259481911762582,0.0999571490074476,0.0007747395833333333
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,low Cd loading,mobilization regime,841,0.11352122516000326,0.1311651082232931,0.0002607266865079365
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,moderate Cd loading,aging-amplified mobilization,11,0.2509542916302469,0.2515348180226968,3.410218253968254e-06
PET_COOH | oxidized,large MP,high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,3329,0.16920625033595768,0.2499653951995959,0.0010320560515873017
PET_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,130,0.5621365255292311,0.7499736068117154,4.0302579365079364e-05
PET_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,low Cd loading,conditional retention,57,0.09025645010557684,0.0996876403757649,1.7671130952380952e-05
PET_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,73,0.18527073135462338,0.2385073005920724,2.2631448412698412e-05
PET_COOH | oxidized,large MP,high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,130,0.3227148690416863,0.4573845229432568,4.0302579365079364e-05
PET_COOH | oxidized,large MP,very high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,860,0.42876953248191785,0.5733984008270706,0.00026661706349206347
PET_COOH | oxidized,large MP,very high MRI,high soil mobilization potential,low Cd loading,conditional retention,430,0.07021415339291828,0.0860097601240605,0.00013330853174603173
PET_COOH | oxidized,large MP,very high MRI,high soil mobilization potential,low Cd loading,mobilization regime,430,0.14886380033466046,0.1823526901519482,0.00013330853174603173
PET_COOH | oxidized,large MP,very high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,437,0.28511084306496715,0.3496970448515512,0.00013547867063492064
PET_COOH | oxidized,large MP,very high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,423,0.20645282220500416,0.2499693365360472,0.00013113839285714286
PET_COOH | oxidized,large MP,very high MRI,low soil mobilization potential,high Cd loading,conditional retention,12845,0.06860601783722312,0.0999711623908433,0.003982204861111111
PET_COOH | oxidized,large MP,very high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,8801,0.020918251133862628,0.0299940680343912,0.002728484623015873
PET_COOH | oxidized,large MP,very high MRI,low soil mobilization potential,high Cd loading,mobilization regime,5044,0.12119862521679263,0.1529848050892795,0.0015637400793650793
PET_COOH | oxidized,large MP,very high MRI,low soil mobilization potential,low Cd loading,conditional retention,3574,0.03915362534485013,0.0486523693127895,0.0011080109126984127
PET_COOH | oxidized,large MP,very high MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,23116,0.014281232381552825,0.0299803939618914,0.007166418650793651
PET_COOH | oxidized,large MP,very high MRI,low soil mobilization potential,moderate Cd loading,conditional retention,13123,0.0559802852277612,0.0933004594532275,0.004068390376984127
PET_COOH | oxidized,large MP,very high MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,13567,0.018905084811459576,0.0299864501550346,0.004206039186507937
PET_COOH | oxidized,large MP,very high MRI,low-to-moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,394,0.2583279136691303,0.2675920423237892,0.00012214781746031745
PET_COOH | oxidized,large MP,very high MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,6986,0.1815057433625854,0.2499920732711039,0.002165798611111111
PET_COOH | oxidized,large MP,very high MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,5450,0.0546839003984691,0.0850998689752418,0.001689608134920635
PET_COOH | oxidized,large MP,very high MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,1930,0.026340453354640934,0.0299908675563752,0.0005983382936507937
PET_COOH | oxidized,large MP,very high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,3190,0.08451419444835895,0.0999923491244174,0.0009889632936507936
PET_COOH | oxidized,large MP,very high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,4190,0.12293270406930928,0.1631956878349258,0.0012989831349206349
PET_COOH | oxidized,large MP,very high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,2801,0.31201978370769345,0.4207192008419118,0.0008683655753968254
PET_COOH | oxidized,large MP,very high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,539,0.2357918336899582,0.2498323599021505,0.00016710069444444444
PET_COOH | oxidized,large MP,very high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,2413,0.06266839919239309,0.0999960294162545,0.000748077876984127
PET_COOH | oxidized,large MP,very high MRI,moderate soil mobilization potential,low Cd loading,mobilization regime,927,0.11388974434275319,0.1337975096572303,0.00028738839285714283
PET_COOH | oxidized,large MP,very high MRI,moderate soil mobilization potential,moderate Cd loading,aging-amplified mobilization,53,0.2536658637985778,0.2565829640168346,1.643105158730159e-05
PET_COOH | oxidized,large MP,very high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,3287,0.17063684783368127,0.2498896780106227,0.0010190352182539682
PET_COOH | oxidized,large MP,very high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,130,0.5734182529330806,0.7650251065949145,4.0302579365079364e-05
PET_COOH | oxidized,large MP,very high MRI,very high soil mobilization potential,low Cd loading,conditional retention,54,0.09157193532224325,0.0997163785682285,1.674107142857143e-05
PET_COOH | oxidized,large MP,very high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,76,0.18551551713948788,0.2432939924843569,2.3561507936507938e-05
PET_COOH | oxidized,large MP,very high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,130,0.3291915540040619,0.4665639433727112,4.0302579365079364e-05
PET_COOH | oxidized,medium MP,very high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,1720,0.4518631869351464,0.599592853744848,0.0005332341269841269
PET_COOH | oxidized,medium MP,very high MRI,high soil mobilization potential,low Cd loading,conditional retention,860,0.07399590856287179,0.0899389280617272,0.00026661706349206347
PET_COOH | oxidized,medium MP,very high MRI,high soil mobilization potential,low Cd loading,mobilization regime,860,0.1568816488642036,0.1906830743136854,0.00026661706349206347
PET_COOH | oxidized,medium MP,very high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,925,0.29764023492242553,0.365672190166985,0.0002867683531746032
PET_COOH | oxidized,medium MP,very high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,795,0.21489972065613938,0.2497353467878663,0.0002464657738095238
PET_COOH | oxidized,medium MP,very high MRI,low soil mobilization potential,high Cd loading,conditional retention,25327,0.06706047334981485,0.0999966434164653,0.00785187251984127
PET_COOH | oxidized,medium MP,very high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,17152,0.02015586275015438,0.0299899022747644,0.005317460317460317
PET_COOH | oxidized,medium MP,very high MRI,low soil mobilization potential,high Cd loading,mobilization regime,10901,0.12322095026619378,0.1599735815983634,0.0033795262896825396
PET_COOH | oxidized,medium MP,very high MRI,low soil mobilization potential,low Cd loading,conditional retention,7570,0.03974072771920025,0.0508749464868171,0.0023468501984126983
PET_COOH | oxidized,medium MP,very high MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,45810,0.01403704268326857,0.0299847839380382,0.014202008928571428
PET_COOH | oxidized,medium MP,very high MRI,low soil mobilization potential,moderate Cd loading,conditional retention,26835,0.05619815084490709,0.0975626870576809,0.00831938244047619
PET_COOH | oxidized,medium MP,very high MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,26545,0.01853105154330281,0.0299937608530141,0.008229476686507937
PET_COOH | oxidized,medium MP,very high MRI,low-to-moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,1107,0.2631948808583908,0.2798164000194368,0.0003431919642857143
PET_COOH | oxidized,medium MP,very high MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,13653,0.18543642605755367,0.2499793656088724,0.004232700892857143
PET_COOH | oxidized,medium MP,very high MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,11332,0.05548129726900796,0.0889874705241225,0.0035131448412698413
PET_COOH | oxidized,medium MP,very high MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,3428,0.026744042137449228,0.0299907403816916,0.0010627480158730159
PET_COOH | oxidized,medium MP,very high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,5580,0.08504228253767235,0.0999941624416829,0.0017299107142857142
PET_COOH | oxidized,medium MP,very high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,9180,0.12466607431122581,0.1706509262088213,0.0028459821428571427
PET_COOH | oxidized,medium MP,very high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,5872,0.32073121618947087,0.4399388381519608,0.0018204365079365079
PET_COOH | oxidized,medium MP,very high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,808,0.24011234304491924,0.2499646269543027,0.00025049603174603176
PET_COOH | oxidized,medium MP,very high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,4547,0.06227064331901986,0.0999894792735886,0.0014096602182539681
PET_COOH | oxidized,medium MP,very high MRI,moderate soil mobilization potential,low Cd loading,mobilization regime,2133,0.11600945032862073,0.1399097565037107,0.0006612723214285714
PET_COOH | oxidized,medium MP,very high MRI,moderate soil mobilization potential,moderate Cd loading,aging-amplified mobilization,277,0.25711860137686826,0.2683043960277163,8.587549603174603e-05
PET_COOH | oxidized,medium MP,very high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,6403,0.17515152485532767,0.2498647553994466,0.0019850570436507936
PET_COOH | oxidized,medium MP,very high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,260,0.5921567965439346,0.7999736068117155,8.060515873015873e-05
PET_COOH | oxidized,medium MP,very high MRI,very high soil mobilization potential,low Cd loading,aging-amplified mobilization,1,0.2544083468706217,0.2544083468706217,3.1001984126984127e-07
PET_COOH | oxidized,medium MP,very high MRI,very high soil mobilization potential,low Cd loading,conditional retention,94,0.09347978983659277,0.0998464477653453,2.914186507936508e-05
PET_COOH | oxidized,medium MP,very high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,165,0.18360729809589477,0.2480806843766413,5.115327380952381e-05
PET_COOH | oxidized,medium MP,very high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,260,0.339949094873187,0.4878778975626443,8.060515873015873e-05
PET_COOH | oxidized,small MP,very high MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,2580,0.4733117072019288,0.6370686434858694,0.0007998511904761905
PET_COOH | oxidized,small MP,very high MRI,high soil mobilization potential,low Cd loading,conditional retention,1290,0.0775082609526174,0.0955602965228804,0.0003999255952380952
PET_COOH | oxidized,small MP,very high MRI,high soil mobilization potential,low Cd loading,mobilization regime,1290,0.1643283259169927,0.2026011596536286,0.0003999255952380952
PET_COOH | oxidized,small MP,very high MRI,high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,1532,0.30695252413594176,0.3885274560815923,0.00047495039682539684
PET_COOH | oxidized,small MP,very high MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,1048,0.2213284645066987,0.2498806327104111,0.00032490079365079367
PET_COOH | oxidized,small MP,very high MRI,low soil mobilization potential,high Cd loading,conditional retention,36719,0.06247489427035176,0.099984907221893,0.011383618551587302
PET_COOH | oxidized,small MP,very high MRI,low soil mobilization potential,high Cd loading,immobilization-dominant regime,24791,0.014707597883234218,0.0299925927351363,0.007685701884920635
PET_COOH | oxidized,small MP,very high MRI,low soil mobilization potential,high Cd loading,mobilization regime,18560,0.12572411054146618,0.1699722603195237,0.005753968253968254
PET_COOH | oxidized,small MP,very high MRI,low soil mobilization potential,low Cd loading,conditional retention,12373,0.040545536679559895,0.0540547355482075,0.003835875496031746
PET_COOH | oxidized,small MP,very high MRI,low soil mobilization potential,low Cd loading,immobilization-dominant regime,67697,0.011408999615386365,0.0299796785685891,0.020987413194444443
PET_COOH | oxidized,small MP,very high MRI,low soil mobilization potential,moderate Cd loading,conditional retention,41324,0.05567529424681421,0.0999683766669513,0.012811259920634921
PET_COOH | oxidized,small MP,very high MRI,low soil mobilization potential,moderate Cd loading,immobilization-dominant regime,38331,0.01384095134101481,0.0299998922574424,0.011883370535714286
PET_COOH | oxidized,small MP,very high MRI,low soil mobilization potential,moderate Cd loading,mobilization regime,415,0.10154172235914796,0.1036605561765457,0.00012865823412698413
PET_COOH | oxidized,small MP,very high MRI,low-to-moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,2597,0.2690170216540936,0.2973055020121039,0.0008051215277777778
PET_COOH | oxidized,small MP,very high MRI,low-to-moderate soil mobilization potential,high Cd loading,mobilization regime,19543,0.1911617985422167,0.2498157277118101,0.006058717757936508
PET_COOH | oxidized,small MP,very high MRI,low-to-moderate soil mobilization potential,low Cd loading,conditional retention,18115,0.0565340820570131,0.0945493709272358,0.005616009424603175
PET_COOH | oxidized,small MP,very high MRI,low-to-moderate soil mobilization potential,low Cd loading,immobilization-dominant regime,4025,0.027306172084577668,0.0299976545591088,0.001247829861111111
PET_COOH | oxidized,small MP,very high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,conditional retention,6631,0.08577079917939966,0.0999930003157866,0.0020557415674603173
PET_COOH | oxidized,small MP,very high MRI,low-to-moderate soil mobilization potential,moderate Cd loading,mobilization regime,15509,0.127526294721647,0.1813169609852027,0.004808097718253968
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,high Cd loading,aging-amplified mobilization,9574,0.33014339276768323,0.4674359227061208,0.0029681299603174604
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,high Cd loading,mobilization regime,446,0.2452565502297539,0.2499304884447958,0.00013826884920634921
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,low Cd loading,conditional retention,6130,0.061513253208132335,0.0999921107149552,0.001900421626984127
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,low Cd loading,mobilization regime,3890,0.11843264418965138,0.1486544047841283,0.0012059771825396826
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,moderate Cd loading,aging-amplified mobilization,861,0.26276561570605583,0.2850739740327357,0.0002669270833333333
PET_COOH | oxidized,small MP,very high MRI,moderate soil mobilization potential,moderate Cd loading,mobilization regime,9159,0.18027200440865954,0.2499940627117719,0.0028394717261904763
PET_COOH | oxidized,small MP,very high MRI,very high soil mobilization potential,high Cd loading,aging-amplified mobilization,390,0.6202646119602154,0.8499736068117154,0.0001209077380952381
PET_COOH | oxidized,small MP,very high MRI,very high soil mobilization potential,low Cd loading,aging-amplified mobilization,8,0.2575342965289171,0.270309393149171,2.48015873015873e-06
PET_COOH | oxidized,small MP,very high MRI,very high soil mobilization potential,low Cd loading,conditional retention,96,0.09621988258975542,0.0997176259083541,2.9761904761904762e-05
PET_COOH | oxidized,small MP,very high MRI,very high soil mobilization potential,low Cd loading,mobilization regime,286,0.1783644868457899,0.2499685707814626,8.86656746031746e-05
PET_COOH | oxidized,small MP,very high MRI,very high soil mobilization potential,moderate Cd loading,aging-amplified mobilization,390,0.35608540617687456,0.5183712721820317,0.0001209077380952381
PET_F | fresh,large MP,moderate MRI,high soil mobilization potential,high Cd loading,aging-amplified mobilization,1618,0.30995908240757897,0.4060263220953364,0.0005016121031746032
PET_F | fresh,large MP,moderate MRI,high soil mobilization potential,high Cd loading,mobilization regime,102,0.2473224716202153,0.2499555093139397,3.162202380952381e-05
PET_F | fresh,large MP,moderate MRI,high soil mobilization potential,low Cd loading,conditional retention,1143,0.06123267672092174,0.0998451989605101,0.0003543526785714286
PET_F | fresh,large MP,moderate MRI,high soil mobilization potential,low Cd loading,mobilization regime,577,0.11093930338568003,0.1291248667589421,0.00017888144841269842
PET_F | fresh,large MP,moderate MRI,high soil mobilization potential,moderate Cd loading,mobilization regime,1720,0.17610279491153286,0.2476222548997034,0.0005332341269841269
PET_F | fresh,large MP,moderate MRI,low soil mobilization potential,high Cd loading,conditional retention,29261,0.06327579895526769,0.0999679163206645,0.009071490575396825
